School,Disabilities,File Name,Gen Ed,Resource Specialist,Socioeconomically Disadvantaged
Juliet Morris Elementary School,93.02,/Users/georgiachanning/LA/SARC_tables/30664806027841_tables.txt,70.52,['.1'],['32.1']
Coyote Creek Elementary School,53.70,/Users/georgiachanning/LA/SARC_tables/07618046117485_tables.txt,80.94,Unknown,['6.2']
Empresa Elementary,8.7,/Users/georgiachanning/LA/SARC_tables/37684526108708_tables.txt,68.19,Unknown,['31.6']
James H Cox Elementary School,13.04,/Users/georgiachanning/LA/SARC_tables/30664986066922_tables.txt,67.36,"['1.0', '.1']",['29.9']
Sycamore Elementary School,68.09,/Users/georgiachanning/LA/SARC_tables/19643946012215_tables.txt,629.2,['1.0'],['17.7']
Crowell Elementary,12.00,/Users/georgiachanning/LA/SARC_tables/50757396053151_tables.txt,27.93,['1.0'],['87.6']
Harold Ambuehl Elementary School,92.45,/Users/georgiachanning/LA/SARC_tables/30664646097398_tables.txt,48.29,Unknown,['40.2']
Maie Ellis Elementary,36.84,/Users/georgiachanning/LA/SARC_tables/37681140131920_tables.txt,53.41,Unknown,['70.7']
Louisiana Schnell Elementary School,100.00,/Users/georgiachanning/LA/SARC_tables/09619526005656_tables.txt,49.49,"['1.4', '.1']",['71.2']
School Year rSchool NameCharles Mack Elementary rStreet4701 Brookfield Dr rCity,0930.00,/Users/georgiachanning/LA/SARC_tables/MackLong_tables.txt,0930.00,"['.5', '4.5', '13.04', '2.59', '32.05', '5.22']",['95.40']
Olive Elementary School,100.00,/Users/georgiachanning/LA/SARC_tables/30666216029870_tables.txt,39.73,"['1.0', '.1']",['61.0']
Mesa Grande Elementary School,98.55,/Users/georgiachanning/LA/SARC_tables/36750446089643_tables.txt,30.84,"['1.5', '.1']",['72.8']
29 Manuel Correa Paddison Elementary School,14.71,/Users/georgiachanning/LA/SARC_tables/19647176015085_tables.txt,52.79,Unknown,['74.2']
/Users/georgiachanning/LA/SARC_tables/37680986038186_tables.txt,0.00,/Users/georgiachanning/LA/SARC_tables/37680986038186_tables.txt,31.73,Unknown,['82.30']
Victoriano Elementary,17.39,/Users/georgiachanning/LA/SARC_tables/33752426108047_tables.txt,52.69,Unknown,"['98.86', '1.14', '54.62', '98.85', '1.15', '47.83']"
James A Graham Elementary School,100.00,/Users/georgiachanning/LA/SARC_tables/01612346001481_tables.txt,43.40,Unknown,['65.6']
Beard Elementary School,97.87,/Users/georgiachanning/LA/SARC_tables/50711676052625_tables.txt,30.09,"['.4', '.1']",['80.2']
William Anderson Elementary School,96.23,/Users/georgiachanning/LA/SARC_tables/19646916014831_tables.txt,51.03,"['4.0', '.1']",['86.3']
Vista Grande Elementary,100.00,/Users/georgiachanning/LA/SARC_tables/37679916101794_tables.txt,57.82,['.1'],['34.3']
Ohlone Elementary School,94.12,/Users/georgiachanning/LA/SARC_tables/07617966099717_tables.txt,50.74,['1.0'],['31.1']
John J Doyle Elementary,0.00,/Users/georgiachanning/LA/SARC_tables/54755236054241_tables.txt,39.48,Unknown,['95.2']
/Users/georgiachanning/LA/SARC_tables/36678760127324_tables.txt,100.00,/Users/georgiachanning/LA/SARC_tables/36678760127324_tables.txt,42.42,Unknown,['95.6']
Kellogg Polytechnic Elementary School,100.00,/Users/georgiachanning/LA/SARC_tables/19649076021869_tables.txt,38.42,['.5'],['86.4']
Terrace Elementary,7.69,/Users/georgiachanning/LA/SARC_tables/33669776031579_tables.txt,64.9,['.5'],[]
Linns Valley Poso Flat Elementary School,Unknown,/Users/georgiachanning/LA/SARC_tables/15635866009724_tables.txt,Unknown,['.1'],['57.9']
Ladera Ranch Elementary School,96.30,/Users/georgiachanning/LA/SARC_tables/30664640100909_tables.txt,78.57,Unknown,['15.1']
Kohl Open Elementary,20.83,/Users/georgiachanning/LA/SARC_tables/39686766098677_tables.txt,34.62,['.5'],['40.1']
Taylor Street Elementary School,2.86,/Users/georgiachanning/LA/SARC_tables/34674216033757_tables.txt,23.27,Unknown,['96.2']
/Users/georgiachanning/LA/SARC_tables/13631236008445_tables.txt,0.0,/Users/georgiachanning/LA/SARC_tables/13631236008445_tables.txt,0.0,Unknown,"['0.00', '0.00', '0.24', '0.05', '0.03', '0.05', '0.09', '0.08', '0.09', '38836092.8', '7.2', '37.5', '38838298.5', '1.5', '28.0', '19117692.1', '7.9', '30.1', '19118999.0', '1.0', '28.6', '19718493.4', '6.6', '44.6', '19719398.0', '2.0', '27.5', '38235492.7', '7.3', '37.3', '376376100.0', '0.0', '27.7', '35232893.2', '6.8', '36.9', '35234798.6', '1.4', '27.4', '18616186.6', '13.4', '12.4', '18618297.8', '2.2', '10.4', '4949100.0', '0.0', '10.2', '4949100.0', '0.0', '6.1', '44100.0', '0.0', '44100.0', '0.0']"
/Users/georgiachanning/LA/SARC_tables/39685936042329_tables.txt,100.00,/Users/georgiachanning/LA/SARC_tables/39685936042329_tables.txt,35.08,Unknown,['74.8']
Stone Ranch Elementary School,95.16,/Users/georgiachanning/LA/SARC_tables/37682960102822_tables.txt,80.05,['4.0'],['6.7']
/Users/georgiachanning/LA/SARC_tables/54722316114656_tables.txt,2.70,/Users/georgiachanning/LA/SARC_tables/54722316114656_tables.txt,31.50,['2.0'],['87.5']
Parkway Elementary,8.93,/Users/georgiachanning/LA/SARC_tables/34674396034201_tables.txt,28.72,['2.0'],['97.3']
Paseo Grande Charter School,Unknown,/Users/georgiachanning/LA/SARC_tables/34674210132019_18-19_1_tables.txt,Unknown,Unknown,['71.0']
Placer Elementary School,27.27,/Users/georgiachanning/LA/SARC_tables/31668456031140_tables.txt,75.36,Unknown,['13.2']
Discovery Elementary School,100.00,/Users/georgiachanning/LA/SARC_tables/15634796109987_tables.txt,59.86,Unknown,['46.6']
School Year NameMaeola Beitzel Elementary rStreet8140 Caymus Dr rCity,339.09,/Users/georgiachanning/LA/SARC_tables/BeitzelLong_tables.txt,339.09,"['4.5', '12.73', '2.32', '31.75', '0.31']",['64.40']
James K Polk Elementary School,21.43,/Users/georgiachanning/LA/SARC_tables/10739650106476_tables.txt,934.9,Unknown,['77.3']
Hirsch Elementary School,31.71,/Users/georgiachanning/LA/SARC_tables/01611766000764_tables.txt,443.3,['3.0'],[]
Redwood Elementary School,6.98,/Users/georgiachanning/LA/SARC_tables/15635786009989_tables.txt,31.33,['3.0'],['90.2']
Berkshire Elementary School,92.75,/Users/georgiachanning/LA/SARC_tables/15633626119994_tables.txt,49.64,['2.7'],['81.8']
Portola Elementary,8.9,/Users/georgiachanning/LA/SARC_tables/56726526097034_tables.txt,72.35,Unknown,"['95.63', '4.37', '64.14', '96.72', '3.28', '68.36']"
Charles H Castle Elementary School,98.48,/Users/georgiachanning/LA/SARC_tables/15633626095012_tables.txt,41.15,['4.3'],['87.1']
School Year NameElitha Donner Elementary rStreet9461 Soaring Oaks Dr rCity,0017.39,/Users/georgiachanning/LA/SARC_tables/DonnerLong_tables.txt,0017.39,"['6.1', '1.79', '6.02', '20.98', '8.65']",['56.20']
Century Elementary,36.67,/Users/georgiachanning/LA/SARC_tables/10621176117550_tables.txt,977.6,['6.5'],['34.3']
Hilltop Drive Elementary School,11.76,/Users/georgiachanning/LA/SARC_tables/37680236037899_tables.txt,56.39,['1.0'],['71.3']
West Orange Elementary School,96.30,/Users/georgiachanning/LA/SARC_tables/30666216029987_tables.txt,58.70,"['2.3', '.1']",['78.1']
Royal Oaks Elementary School,21.88,/Users/georgiachanning/LA/SARC_tables/54722566054670_tables.txt,44.12,['1.0'],['78.9']
Isador Cohen Elementary School,11.63,/Users/georgiachanning/LA/SARC_tables/34674396034029_tables.txt,32.14,['1.0'],['84.6']
Carmichael Elementary School,9.76,/Users/georgiachanning/LA/SARC_tables/34674476034391_tables.txt,34.78,"['2.5', '.1']",['81.6']
Dos Caminos Elementary School,22.86,/Users/georgiachanning/LA/SARC_tables/56725536055404_tables.txt,42.75,['1.0'],['47.6']
Blossom Valley Elementary,33.33,/Users/georgiachanning/LA/SARC_tables/37679916112148_tables.txt,70.31,['.1'],['24.2']
Hanson Elementary,11.36,/Users/georgiachanning/LA/SARC_tables/37683046039028_tables.txt,46.05,Unknown,['65.5']
Kensington Elementary School,100.00,/Users/georgiachanning/LA/SARC_tables/07617966004808_tables.txt,86.25,['1.6'],['7.8']
Palm View Elementary,3.64,/Users/georgiachanning/LA/SARC_tables/33736766031702_tables.txt,621.0,Unknown,['96.9']
/Users/georgiachanning/LA/SARC_tables/15634046009351_tables.txt,100.00,/Users/georgiachanning/LA/SARC_tables/15634046009351_tables.txt,37.42,['1.0'],['88.0']
Winter Gardens Elementary School,Unknown,/Users/georgiachanning/LA/SARC_tables/37681896038392_tables.txt,Unknown,['.5'],[]
Birney Elementary,61.29,/Users/georgiachanning/LA/SARC_tables/19753416022032_tables.txt,81.19,"['1.5', '.1']",['14.0']
Ivey Ranch Elementary,11.76,/Users/georgiachanning/LA/SARC_tables/37735696109995_tables.txt,65.37,['1.0'],['34.6']
Lakeland Elementary School,10.53,/Users/georgiachanning/LA/SARC_tables/19647176015051_tables.txt,07.9,Unknown,['78.0']
Mission Meadows Elementary School,Unknown,/Users/georgiachanning/LA/SARC_tables/37684526110407_tables.txt,Unknown,['3.0'],['57.4']
District Name Whittier City Elementary School District,19.05,/Users/georgiachanning/LA/SARC_tables/19651106023691_tables.txt,53.22,['1.0'],['68.9']
Morrison Elementary,100.00,/Users/georgiachanning/LA/SARC_tables/33671166108229_tables.txt,47.57,['1.0'],['43.1']
Dry Creek Joint Elementary School,19.05,/Users/georgiachanning/LA/SARC_tables/31668036115604_tables.txt,64.81,Unknown,['29.1']
Golden Oak Elementary,100.00,/Users/georgiachanning/LA/SARC_tables/15635786090591_tables.txt,43.51,['2.0'],['89.9']
Mentone Elementary School,94.87,/Users/georgiachanning/LA/SARC_tables/36678436036560_tables.txt,46.39,['.5'],['82.5']
Valentine Peyton Elementary,21.43,/Users/georgiachanning/LA/SARC_tables/39686760115303_tables.txt,47.82,['.3'],['57.7']
Noble Elementary,100.00,/Users/georgiachanning/LA/SARC_tables/43693776046379_tables.txt,75.83,Unknown,['21.5']
Hayfork Elementary School,16.67,/Users/georgiachanning/LA/SARC_tables/53750286053730_tables.txt,42.62,Unknown,['74.4']
World Elementary School,66.67,/Users/georgiachanning/LA/SARC_tables/30665556028922_tables.txt,86.42,Unknown,['9.7']
Mitchell K 6 Elementary School,100.00,/Users/georgiachanning/LA/SARC_tables/24656316025340_tables.txt,47.52,['.1'],['75.8']
Park Dale Lane Elementary,98.11,/Users/georgiachanning/LA/SARC_tables/37680806095046_tables.txt,70.77,"['2.0', '.1']",['22.5']
Cesar Chavez Elementary School,5.71,/Users/georgiachanning/LA/SARC_tables/27660356111637_tables.txt,21.58,Unknown,"['98.71', '1.29', '28.52', '0.00', '21.04']"
Elkhorn Village Elementary,21.43,/Users/georgiachanning/LA/SARC_tables/57726946056352_tables.txt,35.46,['.1'],['89.0']
Victory Elementary,10.45,/Users/georgiachanning/LA/SARC_tables/39686766042808_tables.txt,27.20,['1.3'],['85.7']
Laguna Niguel Elementary School,43.18,/Users/georgiachanning/LA/SARC_tables/30664646120281_tables.txt,77.47,Unknown,['24.0']
